# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABL1	ABL1	NM_005157.6	protein_coding	1	0	0	27	0	0	0	2	0	23	0	0	0	0	0	0	1	0	2
ABL1	ABL1	NM_007313.2	protein_coding	1	1	0	98	0	1	1	2	0	87	0	0	0	0	0	0	1	0	8
ABO	ABO	NM_020469.3	protein_coding	0	0	0	25	1	0	0	1	0	12	0	0	0	0	0	0	0	0	11
ADAMTS13	ADAMTS13	NM_139025.4	protein_coding	0	1	1	3	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0
ADAMTS13	ADAMTS13	NM_139026.5	protein_coding	0	1	1	3	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0
ADAMTS13	ADAMTS13	NM_139027.5	protein_coding	0	1	1	3	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0
ADAMTS13	ADAMTS13	NR_024514.2		0	0	0	5	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0
ADAMTSL2	ADAMTSL2	NM_001145320.1	protein_coding	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
ADAMTSL2	ADAMTSL2	NM_014694.4	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
AIF1L	AIF1L	NM_001185095.1	protein_coding	0	0	0	12	1	0	0	1	0	9	0	0	0	0	0	0	0	0	1
AIF1L	AIF1L	NM_001185096.1	protein_coding	0	0	0	12	1	0	0	1	0	9	0	0	0	0	0	0	0	0	1
AIF1L	AIF1L	NM_031426.4	protein_coding	0	0	0	12	1	0	0	1	0	9	0	0	0	0	0	0	0	0	1
AIF1L	AIF1L	NR_033701.1		0	0	0	12	0	0	0	1	0	9	0	1	0	0	0	0	0	0	1
AK1	AK1	NM_000476.2	protein_coding	0	0	0	9	1	0	0	3	0	4	0	0	0	0	0	0	0	0	1
AK1	AK1	NM_001318121.1	protein_coding	0	0	0	9	1	0	0	3	0	4	0	0	0	0	0	0	0	0	1
AK1	AK1	NM_001318122.2	protein_coding	0	0	0	8	1	0	0	3	0	3	0	0	0	0	0	0	0	0	1
AK8	AK8	NM_001317958.2	protein_coding	0	0	1	86	0	0	1	0	0	84	1	0	0	0	0	0	0	0	1
AK8	AK8	NM_001317959.2	protein_coding	1	0	1	85	0	0	0	0	1	84	1	0	0	0	0	0	0	0	1
AK8	AK8	NM_001371771.1	protein_coding	1	0	1	86	0	0	0	0	1	84	1	0	0	0	0	0	0	0	2
AK8	AK8	NM_001371772.1	protein_coding	1	0	1	85	0	0	0	0	1	84	1	0	0	0	0	0	0	0	1
AK8	AK8	NM_001371773.1	protein_coding	0	0	1	87	0	0	1	0	0	84	1	0	0	0	0	0	0	0	2
AK8	AK8	NM_001371774.1	protein_coding	0	0	1	86	0	0	1	0	0	84	1	0	0	0	0	0	0	0	1
AK8	AK8	NM_152572.3	protein_coding	1	0	1	85	0	0	0	0	1	84	1	0	0	0	0	0	0	0	1
ANGPTL2	ANGPTL2	NM_012098.3	protein_coding	0	3	1	48	0	0	0	0	0	48	1	0	0	0	0	0	0	3	0
ASB6	ASB6	NM_001202403.1	protein_coding	0	0	0	7	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASB6	ASB6	NM_017873.4	protein_coding	0	0	0	7	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASB6	ASB6	NM_177999.3	protein_coding	0	0	0	7	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASS1	ASS1	NM_000050.4	protein_coding	0	1	1	43	0	0	0	1	0	33	1	0	0	0	1	0	0	1	9
ASS1	ASS1	NM_054012.4	protein_coding	0	1	1	43	0	0	0	1	0	33	1	0	0	0	1	0	0	1	9
BARHL1	BARHL1	NM_020064.4	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BRD3	BRD3	NM_007371.4	protein_coding	0	0	0	33	6	0	0	2	0	25	0	0	0	0	0	0	0	0	0
BRD3OS	BRD3OS	NM_001355256.2	protein_coding	0	0	0	10	5	0	0	4	0	0	0	0	0	0	0	0	0	0	1
BRD3OS	BRD3OS	NR_149319.1		0	0	0	10	0	0	0	7	0	0	0	2	0	0	0	0	0	0	1
C9orf16	C9orf16	NM_024112.4	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
C9orf50	C9orf50	NM_199350.3	protein_coding	0	0	1	3	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0
C9orf78	C9orf78	NM_016520.3	protein_coding	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
CACFD1	CACFD1	NM_001135775.3	protein_coding	0	0	0	15	1	0	0	2	0	10	0	0	0	0	0	0	0	0	2
CACFD1	CACFD1	NM_001242369.1	protein_coding	0	0	0	15	1	0	0	2	0	10	0	0	0	0	0	0	0	0	2
CACFD1	CACFD1	NM_001242370.1	protein_coding	0	0	0	15	1	0	0	2	0	10	0	0	0	0	0	0	0	0	2
CACFD1	CACFD1	NM_017586.4	protein_coding	0	0	0	15	1	0	0	2	0	10	0	0	0	0	0	0	0	0	2
CDK9	CDK9	NM_001261.4	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
CEL	CEL	NM_001807.5	protein_coding	1	1	0	9	0	0	0	0	0	8	0	0	0	1	0	0	0	1	2
CELP	CELP	NR_001275.2		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CERCAM	CERCAM	NM_001286760.1	protein_coding	0	0	0	6	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1
CERCAM	CERCAM	NM_016174.5	protein_coding	0	0	0	6	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1
CFAP157	CFAP157	NM_001012502.3	protein_coding	0	1	0	7	0	0	0	3	0	4	0	0	0	0	1	0	0	0	1
CFAP157	CFAP157	NR_145961.2		0	1	0	7	0	0	0	3	0	4	0	0	0	0	1	0	0	0	1
CFAP77	CFAP77	NM_001282957.2	protein_coding	0	0	0	50	1	0	0	2	0	45	0	0	0	0	0	0	0	0	2
CFAP77	CFAP77	NM_207417.3	protein_coding	0	0	0	50	1	0	0	2	0	45	0	0	0	0	0	0	0	0	2
CIZ1	CIZ1	NM_001131015.2	protein_coding	0	0	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2
CIZ1	CIZ1	NM_001131016.2	protein_coding	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6
CIZ1	CIZ1	NM_001131017.2	protein_coding	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6
CIZ1	CIZ1	NM_001131018.2	protein_coding	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6
CIZ1	CIZ1	NM_001257975.1	protein_coding	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6
CIZ1	CIZ1	NM_001257976.2	protein_coding	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6
CIZ1	CIZ1	NM_012127.3	protein_coding	0	0	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2
COL5A1	COL5A1	NM_000093.5	protein_coding	0	1	0	44	0	0	0	1	0	43	0	0	0	0	0	0	0	1	0
COL5A1	COL5A1	NM_001278074.1	protein_coding	0	1	0	44	0	0	0	1	0	43	0	0	0	0	0	0	0	1	0
COL5A1-AS1	COL5A1-AS1	NR_138049.1		0	0	0	8	0	0	0	0	0	3	0	1	0	0	0	0	0	0	4
COQ4	COQ4	NM_001305942.2	protein_coding	0	0	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1
COQ4	COQ4	NM_016035.5	protein_coding	0	0	0	9	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1
CRAT	CRAT	NM_000755.5	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CRAT	CRAT	NM_001257363.3	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CRAT	CRAT	NM_001346546.2	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CRAT	CRAT	NM_001346547.2	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CRAT	CRAT	NM_001346548.2	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CRAT	CRAT	NM_001346549.2	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
CRAT	CRAT	NM_004003.4	protein_coding	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
DBH	DBH	NM_000787.4	protein_coding	0	1	0	44	1	0	0	0	0	37	0	0	0	0	0	0	0	1	6
DBH-AS1	DBH-AS1	NR_102735.1		0	0	0	14	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1
DDX31	DDX31	NM_001322340.1	protein_coding	0	0	1	27	0	0	0	1	0	6	1	0	0	0	0	0	0	0	20
DDX31	DDX31	NM_001322341.2	protein_coding	0	0	0	28	0	0	0	1	0	6	0	0	0	0	0	0	0	0	21
DDX31	DDX31	NM_001322342.1	protein_coding	0	0	0	7	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0
DDX31	DDX31	NM_001322343.1	protein_coding	0	0	0	7	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0
DDX31	DDX31	NM_001322344.1	protein_coding	0	0	1	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	20
DDX31	DDX31	NM_022779.8	protein_coding	0	0	1	27	0	0	0	1	0	6	1	0	0	0	0	0	0	0	20
DDX31	DDX31	NM_138620.1	protein_coding	0	0	1	22	0	0	0	0	0	2	1	0	0	0	0	0	0	0	20
DDX31	DDX31	NR_136309.2		0	0	0	28	0	0	0	1	0	6	0	0	0	0	0	0	0	0	21
DNM1	DNM1	NM_001005336.3	protein_coding	0	0	0	19	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0
DNM1	DNM1	NM_001288737.2	protein_coding	0	0	0	19	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0
DNM1	DNM1	NM_001288738.2	protein_coding	0	0	0	19	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0
DNM1	DNM1	NM_001288739.2	protein_coding	0	0	0	19	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0
DNM1	DNM1	NM_001374269.1	protein_coding	0	0	0	19	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0
DNM1	DNM1	NM_004408.4	protein_coding	0	0	0	19	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0
DOLK	DOLK	NM_014908.4	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
DOLPP1	DOLPP1	NM_001135917.2	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
DOLPP1	DOLPP1	NM_020438.5	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
DOLPP1	DOLPP1	NR_072983.2		0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
ENDOG	ENDOG	NM_004435.2	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
ENG	ENG	NM_000118.3	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENG	ENG	NM_001114753.2	protein_coding	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENG	ENG	NM_001278138.1	protein_coding	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2
